straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Havenstraat,37,e,,Sliedrecht,3361 XD,78,woonfunctie,Havenstraat 37 e  3361 XD Sliedrecht
Scheen,132,,,Joure,8501 HK,138,woonfunctie,Scheen 132   8501 HK Joure
Prins Hendrikstraat,155,,,'s-Gravenhage,2518HP,77,woonfunctie,Prins Hendrikstraat 155   2518HP 's-Gravenhage
Schrijverspark,70,,GA04,Veenendaal,3901 PR,15,overige gebruiksfunctie,Schrijverspark 70  GA04 3901 PR Veenendaal
Ibisdreef,62,,,Utrecht,3564RD,105,woonfunctie,Ibisdreef 62   3564RD Utrecht
Ratio,31,,,Duiven,6921RW,1333,industriefunctie,Ratio 31   6921RW Duiven
Kerkweg,9,a,206,Hensbroek,1711 RR,-1,,Kerkweg 9 a 206 1711 RR Hensbroek
Dokter Kijlstraweg,33,,,Mûnein,9063JB,89,woonfunctie,Dokter Kijlstraweg 33   9063JB Mûnein
Ariënsplein,1,,708,Enschede,7511 JX,35,woonfunctie,Ariënsplein 1  708 7511 JX Enschede
Brugstraat,105,c,,Almelo,7607 XH,45,woonfunctie,Brugstraat 105 c  7607 XH Almelo
Goudenstein,115,,,Barneveld,3772LC,46,woonfunctie,Goudenstein 115   3772LC Barneveld
Zandbelterweg,1,,,Schalkhaar,7433PJ,490,industriefunctie,Zandbelterweg 1   7433PJ Schalkhaar
Bergblauwstraat,258,,,Zaandam,1503MK,97,woonfunctie,Bergblauwstraat 258   1503MK Zaandam
Veldzichtlaan,38,,,Linschoten,3461GV,124,woonfunctie,Veldzichtlaan 38   3461GV Linschoten
Diepenveenseweg,1,A,,Deventer,7413AK,45,industriefunctie,Diepenveenseweg 1 A  7413AK Deventer
Kerklaan,24,,,Rijswijk,2282 CK,126,woonfunctie,Kerklaan 24   2282 CK Rijswijk
Badhuisstraat,1,,,Bergambacht,2861 XT,71,woonfunctie,Badhuisstraat 1   2861 XT Bergambacht
Beetwortelweg,27,,,Oud-Beijerland,3263 EA,113,woonfunctie,Beetwortelweg 27   3263 EA Oud-Beijerland
Laantje van Jetses,7,,,Wageningen,6708SH,101,woonfunctie,Laantje van Jetses 7   6708SH Wageningen
